TypeAndDate,Duration,Year
Total: 2001 Jun 21,297,2001
Annular: 2001 Dec 14,233,2001.5
Annular: 2002 Jun 10,23,2002
Total: 2002 Dec 04,134,2002.5
Annular: 2003 May 31,217,2003
Total: 2003 Nov 23,117,2003.5
Partial: 2004 Apr 19,0,2004
Partial: 2004 Oct 14,0,2004.5
Hybrid: 2005 Apr 08,42,2005
Annular: 2005 Oct 03,272,2005.5
Total: 2006 Mar 29,247,2006
Annular: 2006 Sep 22,429,2006.5
Partial: 2007 Mar 19,0,2007
Partial: 2007 Sep 11,0,2007.5
Annular: 2008 Feb 07,132,2008
Total: 2008 Aug 01,147,2008.5
Annular: 2009 Jan 26,474,2009
Total: 2009 Jul 22,399,2009.5
Annular: 2010 Jan 15,668,2010
Total: 2010 Jul 11,320,2010.5
Partial: 2011 Jan 04,0,2011
Partial: 2011 Jun 01,0,2011.25
Partial: 2011 Jul 01,0,2011.5
Partial: 2011 Nov 25,0,2011.75
Annular: 2012 May 20,346,2012
Total: 2012 Nov 13,242,2012.5
Annular: 2013 May 10,303,2013
Hybrid: 2013 Nov 03,640,2013.5
Annular: 2014 Apr 29,0,2014
Partial: 2014 Oct 23,0,2014.5
Total: 2015 Mar 20,267,2015
Partial: 2015 Sep 13,0,2015.5
Total: 2016 Mar 09,249,2016
Partial: 2016 Sep 01,186,2016.5
Annular: 2017 Feb 26,54,2017
Total: 2017 Aug 21,160,2017.5
Partial: 2018 Feb 15,0,2018
Partial: 2018 Jul 13,0,2018.3
Partial: 2018 Aug 11,0,2018.6
Partial: 2019 Jan 06,0,2019
Total: 2019 Jul 02,273,2019.3
Annular: 2019 Dec 26,319,2019.6
Annular: 2020 Jun 21,38,2020
Total: 2020 Dec 14,130,2020.5
Annular: 2021 Jun 10,231,2021
Total: 2021 Dec 04,214,2021.5
